Character,Character_Link,Image_Path
Finn the Human[edit],https://en.wikipedia.org/wiki/Finn_the_Human,character_images/Finn_the_Human[edit].jpg
Jake the Dog[edit],https://en.wikipedia.org/wiki/Jake_the_Dog,character_images/Jake_the_Dog[edit].jpg
Princess Bubblegum[edit],https://en.wikipedia.org/wiki/Princess_Bubblegum,character_images/Princess_Bubblegum[edit].jpg
Simon Petrikov / The Ice King[edit],https://en.wikipedia.org/wiki/Ice_King,
Marceline the Vampire Queen[edit],https://en.wikipedia.org/wiki/Marceline_the_Vampire_Queen,character_images/Marceline_the_Vampire_Queen[edit].jpg
BMO[edit],https://en.wikipedia.org/wiki/Bemo_(disambiguation),
Fionna Campbell and Cake the Cat[edit],https://en.wikipedia.org/wiki/BMO_(disambiguation),
Lumpy Space Princess[edit],https://en.wikipedia.org/wiki/Fionna_Campbell_(character),character_images/Lumpy_Space_Princess[edit].jpg
Flame Princess[edit],https://en.wikipedia.org/wiki/Fionna_and_Cake_(episode),character_images/Flame_Princess[edit].jpg
Lady Rainicorn[edit],https://en.wikipedia.org/wiki/Adventure_Time:_Fionna_and_Cake,character_images/Lady_Rainicorn[edit].jpg
Betty Grof[edit],https://en.wikipedia.org/wiki/Tree_Trunks_(Adventure_Time),character_images/Betty_Grof[edit].jpg
Peppermint Butler[edit],https://en.wikipedia.org/wiki/Tree_trunk_(disambiguation),
Prismo[edit],,
Martin Mertens[edit],,
King of Ooo[edit],,
Hunson Abadeer[edit],,
Earl of Lemongrab[edit],,
Fern[edit],,
Uncle Gumbald[edit],,
GOLB[edit],,
The Lich[edit],,
Cinnamon Bun[edit],,
N.E.P.T.R.[edit],,
Gunter[edit],,
Tree Trunks[edit],,
Billy[edit],,
Susan Strong[edit],,
Abracadaniel[edit],,
Huntress Wizard[edit],,
Magic Man[edit],,
Grob Gob Glob Grod[edit],,
Snail[edit],,
